stock_id,stock_name,stock_code
539,香港中旅,00308
6347,新華通訊頻媒,00309
543,嘉進投資國際,00310
7705,聯泰控股,00311
49633,歲寶百貨,00312
548,裕田中國,00313
1000178917,思派健康,00314
555,數碼通電訊,00315
558,東方海外國際,00316
560,中船防務,00317
562,黃河實業,00318
12370,金寶通,00320
572,德永佳集團,00321
576,康師傅控股,00322
580,馬鞍山鋼鐵股份,00323
586,中國星集團,00326
56792,百富環球,00327
591,ALCO HOLDINGS,00328
592,東建國際,00329
595,思捷環球,00330
134313,豐盛生活服務,00331
600,元亨燃氣,00332
602,黛麗斯國際,00333
604,華顯光電,00334
608,美建集團,00335
612,華寶國際,00336
12347,綠地香港,00337
618,上海石油化工股份,00338
621,核心經濟投資,00339
624,潼關黃金,00340
627,大家樂集團,00341
629,文化傳信,00343
636,VITASOY INT'L,00345
638,延長石油國際,00346
642,鞍鋼股份,00347
648,中國智能健康,00348
659,亞洲能源物流,00351
11750,富陽,00352
666,能源國際投資,00353
30083,中國軟件國際,00354
674,世紀城市國際,00355
675,鼎立資本,00356
679,美蘭空港,00357
684,江西銅業股份,00358
8654,新焦點,00360
695,順龍控股,00361
700,中國天化工,00362
704,上海實業控股,00363
712,芯成科技,00365
717,陸氏集團（越南）,00366
718,莊士機構國際,00367
1000044666,德合集團,00368
722,永泰地產,00369
724,國華,00370
729,北控水務集團,00371
733,保德國際發展,00372
736,聯合集團,00373
738,四洲集團,00374
741,YGM TRADING,00375
743,雲鋒金融,00376
748,中國華君,00377
756,恒嘉融資租賃,00379
762,中國管業,00380
765,僑雄國際,00381
1000000420,中滙集團,00382
771,中國醫療網絡,00383
772,中國燃氣,00384
774,建聯集團,00385
775,中國石油化工股份,00386
6311,力豐（集團）,00387
781,香港交易所,00388
40197,通天酒業,00389
19916,中國中鐵,00390
787,美亞娛樂資訊,00391
788,北京控股,00392
790,旭日企業,00393
35013,興利（香港）控股,00396
798,嬴集團,00397
799,東方表行集團,00398
800,領航醫藥生物科技,00399
108524,硬蛋創新,00400
94967,萬嘉集團,00401
806,星光集團,00403
10324,越秀房產信託基金,00405
810,有利集團,00406
812,葉氏化工集團,00408
18165,ＳＯＨＯ中國,00410
816,南順（香港）,00411
817,山高控股,00412
819,南華集團控股,00413
134314,錦州銀行,00416
827,謝瑞麟,00417
828,方正控股,00418
830,華誼騰訊娛樂,00419
831,福田實業,00420
20189,越南製造加工出口,00422
9449,經濟日報集團,00423
1000193084,澳能建設二四零五,00424
10177,敏實集團,00425
9921,萬華媒體,00426
852,中國天弓控股,00428
857,東方興業控股,00430
859,大中華金融,00431
861,盈大地產,00432
864,北方礦業,00433
95959,博雅互動,00434
13307,陽光房地產基金,00435
143637,新宇環保,00436
8384,彩虹新能源,00438
877,光啟科學,00439
879,大新金融,00440
119940,域能控股,00442
9915,SINCEREWATCH HK,00444
899,鴻興印刷集團,00450
901,協鑫新能源,00451
912,天大藥業,00455
914,新城市建設發展,00456
918,聯亞集團,00458
25930,鋑聯控股,00459
54111,四環醫藥,00460
9134,中國智能科技,00464
41000,富通科技,00465
943,聯合能源集團,00467
56479,紛美包裝,00468
9878,中播數據,00471
961,新絲路文旅,00472
11477,信銘生命科技,00474
14831,中發展控股,00475
984,科軒動力控股,00476
1000,香港興業國際,00480
8996,聖馬丁國際,00482
8993,包浩斯國際,00483
93654,雲遊控股,00484
1020,中國華星,00485
42723,俄鋁,00486
1027,實德環球,00487
1029,麗新發展,00488
10226,東風集團股份,00489
1039,英皇文化產業,00491
1045,國美零售,00493
1051,PALADIN,00495
